Price,Close,High,Low,Open,Volume,Daily_Return
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400,
2020-01-03,71.6306381225586,72.38925722098051,71.40666619485818,71.56320547713457,146322800,-0.00972213110379494
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200,0.007968348572992223
2020-01-07,71.86184692382812,72.46633010238772,71.64268897397623,72.21104883104543,108872000,-0.004703080777853308
2020-01-08,73.01782989501953,73.31886979288494,71.56561372170107,71.56561372170107,132079200,0.016086185099260186
2020-01-09,74.56877899169922,74.76144156312063,73.74272737606113,73.99318724898775,170108400,0.02124069010143881
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,0.0022609242451232525
2020-01-13,76.3341064453125,76.36060178633993,74.93487315391599,75.05288582822318,121532000,0.02136458670737995
2020-01-14,75.3033218383789,76.48099343710987,75.18050255877637,76.27147084582813,161954400,-0.013503591709324247
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600,-0.004285342168316109
2020-01-16,75.91985321044922,76.03064118697364,75.16123412136378,75.52248200660513,108829200,0.012526328213873672
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,0.011070984357600677
2020-01-21,76.24015808105469,76.83019183971173,76.1028821310267,76.38947268651397,110843200,-0.006776969673597422
2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400,0.0035696165796885726
2020-01-23,76.88077545166016,76.96024675038308,76.01859307367198,76.56528622859716,104472000,0.004815816651162708
2020-01-24,76.65921783447266,77.86819158420508,76.46895853504518,77.1264324079885,146537600,-0.0028818337989684473
2020-01-27,74.40503692626953,75.08417746726008,73.42484908589569,74.67235687385795,161940000,-0.029405216644272203
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,0.02828919230996796
2020-01-29,78.11144256591797,78.95676515736241,77.39858197163568,78.13793790519387,216229200,0.020932550416047357
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200,-0.0014492749376527891
2020-01-31,74.53987884521484,77.71163064497078,74.24606365244907,77.29017484753824,199588400,-0.04433893470704664
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400,-0.002746136141413613
2020-02-04,76.78926849365234,76.97952779146334,75.53212542449515,75.93672133535755,136616400,0.03301379281536243
2020-02-05,77.4154281616211,78.21258127557842,76.81334832632962,77.91394467954083,118826800,0.008154260097171129
2020-02-06,78.32095336914062,78.3233640404218,77.12883967256218,77.68516086755363,105425600,0.011696960528708278
2020-02-07,77.2563705444336,78.06989925267796,76.76632167871378,77.82125391424971,117684000,-0.01359256723663027
2020-02-10,77.623291015625,77.623291015625,75.7644885208781,75.8441484328751,109348800,0.004749387896501922
2020-02-11,77.15498352050781,78.19060679185898,76.93772180330761,78.11818867514276,94323200,-0.006033079620689108
2020-02-12,78.98724365234375,78.99206907115294,77.60399867366895,77.60399867366895,113730400,0.023747787222959227
2020-02-13,78.42472839355469,78.75062448611214,78.05779784487349,78.26057583496424,94747600,-0.0071215962575543745
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,0.0002466124592699348
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,-0.01831056969383149
2020-02-19,78.12299346923828,78.3523297233802,77.24911404532844,77.24911404532844,93984000,0.014482707034340292
2020-02-20,77.32152557373047,78.37163210197758,76.81699322453267,77.88399976313329,100566000,-0.01025905255183801
2020-02-21,75.57135009765625,77.35774159273006,74.95577422235982,76.91596913601705,129554000,-0.022635035497396205
2020-02-24,71.98169708251953,73.43011814732492,69.8211400810818,71.75960997813098,222195200,-0.047500183740240565
2020-02-25,69.54352569580078,73.03180965186876,69.07279323243056,72.6503953158895,230673600,-0.033872102013983385
2020-02-26,70.646728515625,71.90927139616765,69.16209855410392,69.16934036398257,198054800,0.015863487057729664
2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600,-0.0653682020188755
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000,-0.0005847817398348942
2020-03-02,72.1337661743164,72.76865844299596,67.04256816593558,68.14336733709636,341397200,0.09310037054379183
2020-03-03,69.84285736083984,73.38665871766685,68.99311238709194,73.3069988099028,319475600,-0.031759173754222325
2020-03-04,73.0824966430664,73.24182384454771,70.76261243598904,71.56165746891385,219178400,0.046384689925973666
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800,-0.03243707713139976
2020-03-06,69.77285766601562,70.2049720207652,67.88991319528947,68.07579124975517,226176800,-0.013280030797276576
2020-03-09,64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800,-0.07909216001105712
2020-03-10,68.882080078125,69.14762542571471,65.0268655374001,66.90257561810807,285290000,0.07202168999123604
2020-03-11,66.4897689819336,67.88749740945617,65.62795665733853,66.96292517997638,255598800,-0.03473052923892661
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000,-0.09875476006910888
2020-03-13,67.10293579101562,67.57367559511492,61.06301877546382,63.94538103600016,370732000,0.11980838023277562
2020-03-16,58.4703483581543,62.542820889319664,57.93684495675963,58.40758108532822,322423600,-0.12864694116732134
2020-03-17,61.04128646850586,62.1879493594709,57.550590391518064,59.74977632698614,324056000,0.04396994686269928
